#Frame,Mode1,Mode2,Mode3
528,44.009,-11.836,46.086
529,58.972,-38.969,29.295
530,65.911,-28.893,26.645
531,39.575,-4.896,38.797
532,50.483,-0.523,32.425
533,61.798,16.868,42.436
534,58.54,16.988,39.072
535,51.857,6.503,39.981
536,49.717,-19.501,33.134
537,40.755,-39.883,30.063
538,54.286,-47.377,17.314
539,48.397,-34.346,13.932
540,59.509,-17.286,31.083
541,54.135,-19.571,16.728
542,59.57,-7.776,35.357
543,55.823,11.495,53.279
544,42.292,32.675,56.472
545,9.677,22.987,69.784
546,2.325,5.567,70.8
547,4.912,-2.259,76.305
548,-4.48,0.959,90.877
549,-32.429,1.364,100.629
550,-24.631,-13.945,78.766
551,-23.369,19.788,106.291
552,-29.593,13.409,125.76
553,-25.866,2.449,128.293
554,-22.773,-3.532,129.012
555,-22.061,-2.631,98.602
556,-22.852,-0.826,102.271
557,-1.959,-18.381,90.389
558,17.661,-48.27,92.666
559,-5.825,-58.292,92.12
560,0.584,-75.732,57.091
561,15.757,-104.892,42.375
562,4.352,-75.533,42.797
563,4.013,-93.295,61.384
564,-6.366,-61.745,59.128
565,6.571,-68.436,47.821
566,-0.435,-36.906,68.859
567,-3.484,-18.643,72.489
568,-19.559,-37.132,54.163
569,-29.215,-12.101,56.429
570,-4.091,-55.673,35.504
571,-17.877,-49.059,12.983
572,-23.095,-54.304,11.141
573,-23.756,-40.471,19.916
574,-20.53,-64.203,28.867
575,-31.899,-65.848,46.606
576,-28.281,-60.037,59.948
577,-39.281,-77.862,48.732
578,-23.6,-38.224,57.727
579,-44.575,-46.567,47.85
580,-50.83,-49.543,37.675
581,-53.456,-25.619,53.898
582,-35.753,-33.601,41.547
583,-49.987,-40.439,50.914
584,-2.284,-17.264,51.096
585,-8.748,-12.996,55.947
586,-13.834,-28.08,64.364
587,-19.782,-19.415,46.541
588,-21.867,-29.999,56.632
589,8.225,-31.035,41.846
590,-4.816,-19.43,40.669
591,-17.407,-27.488,43.794
592,-45.428,-32.982,44.586
593,-46.268,-65.258,48.741
594,-40.008,-65.265,52.758
595,-23.639,-52.136,68.067
596,-11.134,-28.142,57.534
597,-17.942,-28.689,53.13
598,13.389,12.214,61.845
599,18.22,-21.116,44.201
600,32.192,8.691,25.015
601,31.666,-2.499,25.294
602,36.505,1.008,16.743
603,40.356,7.702,-3.601
604,33.301,23.803,21.763
605,53.016,20.342,29.244
606,39.54,11.786,11.387
607,30.903,-8.607,-7.502
608,14.574,-10.688,10.346
609,20.28,-4.792,22.576
610,17.415,10.736,39.719
611,-4.515,18.658,67.89
612,-9.168,-13.517,55.617
613,-6.002,2.383,52.362
614,-7.602,3.777,44.176
615,-11.701,0.958,34.442
616,-8.782,8.511,34.488
617,-18.291,23.578,41.181
618,-16.224,55.973,51.038
619,-29.297,43.007,49.705
620,-25.412,-1.581,48.892
621,-28.359,-29.657,56.64
622,-31.975,-31.596,52.448
623,-29.444,-35.474,46.698
624,-26.215,-55.145,58.204
625,-21.204,-63.168,46.459
626,-11.144,-83.413,41.695
627,-12.667,-109.21,10.358
628,-11.112,-115.239,4.771
629,-23.558,-115.246,-5.801
630,-39.073,-97.16,32.574
631,-21.432,-82.029,36.093
632,-35.547,-61.226,55.633
633,-18.666,-74.245,44.832
634,-27.271,-50.167,54.048
635,-46.969,-59.071,63.384
636,-55.491,-73.019,42.34
637,-64.888,-51.589,60.921
638,-45.442,-105.377,37.072
639,-13.685,-113.327,34.976
640,-31.139,-97.282,33.323
641,-4.212,-102.005,13.966
642,23.897,-101.725,12.936
643,2.2,-106.944,0.046
644,0.374,-91.111,16.809
645,-11.061,-68.459,37.558
646,1.628,-81.331,16.896
647,5.37,-77.767,18.218
648,13.729,-97.059,20.969
649,-9.313,-118.073,14.805
650,-13.24,-94.933,9.186
651,-13.64,-100.2,6.493
652,-5.757,-90.143,15.018
653,-4.774,-64.418,26.296
654,-9.327,-51.1,27.844
655,-17.332,-58.917,43.102
656,-34.425,-45.696,42.294
657,-39.821,-55.086,50.116
658,-34.489,-48.117,44.637
659,-24.315,-60.702,45.907
660,-33.776,-35.459,56.212
661,-66.074,-76.479,52.56
662,-56.97,-85.195,44.495
663,-63.57,-72.383,53.151
664,-53.419,-68.795,35.262
665,-23.581,-63.927,12.332
666,-31.146,-77.855,11.116
667,-68.137,-80.362,15.311
668,-37.273,-82.479,14.832
669,-49.652,-95.191,-12.392
670,-78.822,-105.73,4.587
671,-90.346,-92.003,15.427
672,-88.888,-89.899,12.438
673,-85.429,-94.6,0.611
674,-67.272,-92.892,45.079
675,-61.034,-72.972,53.529
676,-91.455,-58.108,62.717
677,-85.348,-53.034,69.866
678,-72.933,-82.653,50.892
679,-74.063,-72.502,59.066
680,-76.569,-77.864,62.316
681,-74.848,-75.691,61.082
682,-88.57,-59.963,79.753
683,-70.507,-62.564,85.808
684,-52.781,-50.536,87.624
685,-56.694,-76.455,60.354
686,-44.317,-64.241,55.65
687,-69.219,-56.213,67.104
688,-65.807,-50.901,68.931
689,-68.159,-54.86,62.184
690,-76.749,-58.369,66.856
691,-54.791,-73.105,53.008
692,-66.809,-81.851,39.835
693,-75.501,-63.624,46.611
694,-65.43,-78.196,44.146
695,-46.169,-74.72,67.693
696,-79.348,-47.998,55.193
697,-80.18,-48.819,74.709
698,-83.58,-60.614,48.843
699,-91.851,-69.629,60.444
700,-81.269,-62.137,55.351
701,-94.981,-61.315,61.798
702,-107.709,-41.901,67.133
703,-106.807,-42.572,66.888
704,-95.293,-47.21,53.068
705,-111.133,-28.52,87.922
706,-108.789,-45.268,67.216
